,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
5762,5762,4092,2021-12-09,M3llow Rod,M3llow Rod,96170888,Ri38,19672422.0,972612,5653243,152119,276670,91475,434338,18010,82141072,11448,112464
5766,5766,4117,2021-12-09,Mr neGspoD,Mr neGspoD,96176549,RP38,17411828.0,2821177,17335694,532622,427865,487005,1304828,68857,0,0,0
5777,5777,638,2021-11-22,Small REnAR,Small REnAR,96191138,,24313529.0,5609363,35326577,522429,1243137,1362557,2233921,247319,167142427,26880,277583
5783,5783,4186,2021-12-09,TINApie,TINApie,96195262,RP38,18243499.0,4330653,15097592,2730123,160582,226551,1094374,119023,129494430,42441,141185
5784,5784,4098,2021-12-09,M3llow Touch,M3llow Touch,96195946,Ri38,17459623.0,3538100,20850823,603039,782792,467533,1640022,44714,3385513,8210,26202
5791,5791,4188,2021-12-09,Thor pipaskat,Thor pipaskat,96197094,Rw38,14378244.0,592918,1760634,198591,273461,6756,113523,587,559416,5308,53510
5792,5792,4104,2021-12-09,M3llows Thorgir,M3llows Thorgir,96197563,Ri38,20330753.0,2708816,12065165,637155,833485,355301,880794,2081,82639644,8352,186607
5803,5803,4067,2021-12-09,Killer X Marco,Killer X Marco,96199430,RX38,6646280.0,614932,3726138,68610,116609,153842,265359,10512,1796084,4283,147231
5807,5807,4052,2021-12-09,IronMan z4,IronMan z4,96200949,Rw38,16762456.0,1849575,4314311,445089,808533,558907,36832,214,123157634,7039,509552
5808,5808,4088,2021-12-09,M3llow IFF,M3llow IFF,96201419,Ri38,17314375.0,734053,3703883,120787,242589,92332,274168,4177,16177937,3641,262683
5809,5809,4176,2021-12-09,Small JucCy,Small JucCy,96201947,Rw38,12657739.0,2876874,11777837,544799,1026483,615888,664172,25532,4800000,5415,217084
5816,5816,4101,2021-12-09,M3llow W44RD,M3llow W44RD,96204359,Ri38,18191864.0,902567,3793670,168032,251236,274493,201650,7156,8091677,14204,33215
5825,5825,4051,2021-12-09,Interim Name,Interim Name,96207548,Rt38,13857596.0,297569,881829,91835,125900,31113,48721,0,37268948,7157,55140
5832,5832,809,2021-11-22,nøødle,noodle,96212053,RE38,23994040.0,5628139,28763473,2380308,323628,418204,2415264,90735,815502143,25801,212108
5833,5833,4066,2021-12-09,Killer Riaz,Killer Riaz,96212776,Rt38,16135532.0,1724109,7617318,183384,480064,707061,327973,25627,1301958,3142,372812
5834,5834,4107,2021-12-09,Midlánèr,Midlaner,96214090,RX38,16474125.0,6072860,26783984,1391193,2140734,713677,1717555,109701,82069947,13161,175530
5835,5835,4174,2021-12-09,Slàyer X Uchí,Slayer X Uchi,96214479,RX38,17664241.0,4457090,20629460,729141,1817258,495774,1343232,71685,104556717,14524,167627
5842,5842,4209,2021-12-09,lepreal,lepreal,96216646,RP38,21296416.0,2815017,18888108,244073,463864,681834,1332069,93177,116300071,19669,583569
5849,5849,4158,2021-12-09,Scarlgard,Scarlgard,96218659,RP38,20345908.0,1602020,12616899,92358,313617,240276,810529,145240,100128365,7326,526107
5865,5865,4142,2021-12-09,Pirate kicking,Pirate kicking,96228988,Rt38,21588099.0,2929827,18284663,701806,345933,378569,1413222,90297,32128443,8207,298816
5866,5866,4123,2021-12-09,Nicolau07,Nicolau07,96229112,RK38,14063179.0,600554,4040047,72198,69664,147110,293380,18202,27737893,8323,58265
5867,5867,4082,2021-12-09,M3llow Dude,M3llow Dude,96230581,Ri38,23222530.0,30673995,166087025,4785719,8044650,5974598,11223837,645191,461234536,13918,1049836
5871,5871,4229,2021-12-09,ᵉᵐᶦ,ᵉmI,96234544,RK38,16652478.0,381634,3011479,34226,46664,17449,282439,856,90744459,7714,128044
5882,5882,4080,2021-12-09,M3llow Blawb,M3llow Blawb,96238368,Ri38,17305271.0,190054,1796529,3726,34691,11903,111589,28145,27750000,9726,97482
5883,5883,4175,2021-12-09,Small Bürgerm,Small Burgerm,96239377,Rw38,16278227.0,1052220,7724901,116005,142268,153651,600336,39960,0,15915,109194
5884,5884,4047,2021-12-09,Happy Honda,Happy Honda,96239466,RP38,12497908.0,2824016,12185273,600877,791260,686327,717377,28175,133038950,15994,410097
5885,5885,4116,2021-12-09,Mr Trandom,Mr Trandom,96240225,RP38,18527617.0,1446391,10454698,139753,321156,160409,735866,89207,305205944,21916,245122
5889,5889,4115,2021-12-09,Mr TomaHawk,Mr TomaHawk,96240941,RP38,16467010.0,910300,7305796,40593,129712,144771,544531,50693,25339899,11991,123993
5890,5890,4181,2021-12-09,Sneaky Link,Sneaky Link,96241263,RK38,19785439.0,1683484,11212976,169791,250719,369210,867454,26310,211372908,18079,383439
5901,5901,4021,2021-12-09,CaptainFelixᴿ,CaptainFelixR,96242763,Rw38,14254303.0,808716,6464433,145045,79399,72259,425267,86746,31771879,7664,306608
5906,5906,4039,2021-12-09,Falcon Solider,Falcon Solider,96245101,Rw38,10613431.0,186076,1070072,40681,45882,4593,94660,260,0,1993,213631
5907,5907,4211,2021-12-09,m3llow mannkalo,m3llow mannkalo,96245923,Ri38,19270020.0,385851,3038452,27384,43512,33933,281022,0,238673198,9857,39675
5910,5910,4198,2021-12-09,Under Boss Para,Under Boss Para,96246383,Rw38,16829666.0,2852948,6911293,2064908,99676,145275,514392,28697,27806047,11602,180185
5911,5911,4183,2021-12-09,Steelrone,Steelrone,96248420,RP38,16621218.0,1942173,10820352,263271,559751,370034,681428,67689,141685091,9921,544759
5918,5918,4100,2021-12-09,M3llow Tuna,M3llow Tuna,96250012,Ri38,21185798.0,223411,586909,91805,90082,4476,37048,0,32000000,7573,11332
5919,5919,4200,2021-12-09,VceN,VceN,96253426,Rw38,14342269.0,391351,3203056,20090,31627,43426,296208,0,8885143,8497,3190
5926,5926,4059,2021-12-09,Jounin Temp,Jounin Temp,96253645,RK38,20889101.0,1767862,13721777,115396,211116,391779,928207,121364,3445471,10466,191396
5931,5931,4042,2021-12-09,GangsofWasepur,GangsofWasepur,96254604,Rw38,17190586.0,437920,2256432,72360,169073,10176,186311,0,10000,4993,619859
5932,5932,4005,2021-12-09,Ashwillmore,Ashwillmore,96254835,Rw38,14710625.0,408376,3256417,85109,21681,32056,232279,37251,21256,13013,34394
5933,5933,4090,2021-12-09,M3llow JCO,M3llow JCO,96255103,Ri38,13385001.0,1039328,4347721,201495,382620,176123,274411,4679,25326607,7812,269358
5938,5938,4081,2021-12-09,M3llow Death,M3llow Death,96256699,Ri38,14623814.0,328460,639837,142748,95564,80220,9928,0,93868930,9428,83325
5939,5939,4071,2021-12-09,KÖNİGSRASSE,KONIGSRASSE,96256955,Rw38,12507077.0,131608,696612,17660,51834,5288,56826,0,5831152,3875,33192
5949,5949,4096,2021-12-09,M3llow Switch,M3llow Switch,96258082,Ri38,19573759.0,8137,1406633,4019,995,280,2842,1,2831468,4989,99628
5950,5950,4103,2021-12-09,M3llow hello,M3llow hello,96258173,Ri38,20627639.0,2094011,14640493,188266,380051,387592,1046967,91135,5977857,12695,244630
5951,5951,4106,2021-12-09,MexiSpideyJay,MexiSpideyJay,96258521,Rw38,17265419.0,638928,1887585,296379,76514,164178,101857,0,104391972,6972,128557
5954,5954,4102,2021-12-09,M3llow Yami,M3llow Yami,96259471,Ri38,14877896.0,6545957,16951614,1635790,3701483,694925,383339,130420,24277521,13843,796394
5955,5955,4168,2021-12-09,Slayer x yMt3,Slayer x yMt3,96259916,RX38,21729852.0,3683162,13230433,2209535,280452,156993,912399,123783,242663945,22639,293650
5956,5956,4136,2021-12-09,Pirate SOMALIA,Pirate SOMALIA,96260831,Rt38,18680493.0,2785967,12179058,569544,981386,403887,813617,17533,116300244,12549,381070
5957,5957,4018,2021-12-09,Capo Spartanu,Capo Spartanu,96261561,Rw38,12911512.0,186589,1080254,17134,44997,44801,78551,1106,7651816,6646,310059
5958,5958,4093,2021-12-09,M3llow Rëën,M3llow Reen,96261631,Ri38,15398709.0,123031,331078,14174,71298,31657,5902,0,96954938,14275,12280
5959,5959,4213,2021-12-09,master758,master758,96262558,Rw38,14760879.0,217961,1374721,39376,45603,9355,123432,195,2601000,3353,88984
5960,5960,4023,2021-12-09,Cotton95,Cotton95,96265202,RP38,18698829.0,457209,2743524,69540,122896,49741,201578,13454,40677645,5245,59400
5961,5961,4223,2021-12-09,økills,okills,96265209,Rw38,16402880.0,474352,4161616,24692,32909,59355,329448,27948,2565745,2605,105896
5968,5968,4057,2021-12-09,Jounin Necro99,Jounin Necro99,96267065,RK38,18886184.0,138218,1095214,15714,11877,26567,71915,12145,0,5744,97466
5969,5969,4017,2021-12-09,Bully Maguire4,Bully Maguire4,96272103,Rw38,15026169.0,3327502,13039781,218727,1292430,1305964,502030,8351,1600000,8903,548186
5979,5979,4084,2021-12-09,M3llow Ewert,M3llow Ewert,96273838,Ri38,11974368.0,756326,5577333,70716,154465,73925,418584,38636,145056386,7366,25748
5980,5980,4215,2021-12-09,nr456 Chvaściu,nr456 Chvasciu,96274309,RP38,23332331.0,1584833,11643642,162514,276805,218170,836203,91141,99019521,11736,339054
5981,5981,4061,2021-12-09,K9Nate,K9Nate,96277498,RP38,12747992.0,1388708,8479033,303926,155996,258504,633340,36942,139841935,5226,203631
5982,5982,4036,2021-12-09,EntropicMalice,EntropicMalice,96280450,Rt38,20164289.0,421433,3293332,59582,80706,31876,199288,49981,12300000,4847,265275
5989,5989,4073,2021-12-09,LITE MAN,LITE MAN,96285664,Rw38,15871175.0,269864,1616664,49590,88653,28225,75138,28258,0,4611,284153
6002,6002,4015,2021-12-09,Bobopudge,Bobopudge,96293177,RP38,17508619.0,11289491,46159479,4339286,1484510,2658458,2445597,361640,41975280,23191,626853
6007,6007,4208,2021-12-09,headless ripper,headless ripper,96295361,RA38,24041529.0,1575797,9604798,220044,315136,282717,735835,22065,150628759,12199,252417
6008,6008,4069,2021-12-09,Kobe00,Kobe00,96297228,RR38,21722968.0,4475773,28377785,919867,1141138,449019,1519952,445797,9849514,29421,375222
6009,6009,4178,2021-12-09,Small Murloc,Small Murloc,96298101,Rw38,19207972.0,1213088,7739770,57081,324156,215023,611661,5167,0,8188,77421
6013,6013,4201,2021-12-09,Welongsw,Welongsw,96299115,Rw38,20269105.0,1370297,8148686,173702,293166,286016,596471,20942,3127699,15922,186331
6014,6014,4085,2021-12-09,M3llow Fast,M3llow Fast,96312657,Ri38,18447612.0,258603,674955,23086,163366,62984,9167,0,2311204,9117,11356
6019,6019,4165,2021-12-09,Slayer X Snakę,Slayer X Snake,96337662,RX38,17980913.0,1353688,7724138,550660,133121,113711,423100,133096,17245946,12732,166337
6020,6020,4207,2021-12-09,dik fury,dik fury,96365102,Rw38,16486441.0,573126,3038311,88018,205401,34374,243425,1908,37511885,16201,88063
6021,6021,4068,2021-12-09,KillerX aloneF,KillerX aloneF,96378030,Rt38,13892883.0,1832194,11352170,345874,267579,360357,786127,72257,29001952,5687,180742
6022,6022,4087,2021-12-09,M3llow Frîja,M3llow Frija,96399935,Ri38,18246566.0,105662,555624,6181,31631,31229,36621,0,131499016,14759,22358
6026,6026,4146,2021-12-09,PirateShinyJack,PirateShinyJack,96424810,Rt38,13430986.0,529456,4232001,24537,36703,173797,242988,51431,0,8822,89824
6027,6027,4233,2021-12-09,乄Pirate Val,乄Pirate Val,96427511,Rt38,16344995.0,482960,3640102,116573,18689,15235,313079,19384,226918278,13956,286239
6028,6028,4166,2021-12-09,Slayer X Teavis,Slayer X Teavis,96429615,RX38,15155802.0,2077472,17152560,55504,463954,240043,1110604,207367,86104179,17761,290646
6034,6034,4150,2021-12-09,Psychologyst,Psychologyst,96471500,RP38,15293387.0,2526019,14834863,390635,664631,407191,947253,116309,55527688,9001,280316
6035,6035,4062,2021-12-09,KAITx Kz,KAITx Kz,96482453,Rw38,19091459.0,6463295,26657895,2576057,798809,1297924,1645673,144832,9775674,15337,292999
6036,6036,4037,2021-12-09,F2P Dealerr,F2P Dealerr,96486128,RR38,21694942.0,4375020,36335169,356919,419717,411278,2996288,190818,302327,7232,187091
6055,6055,4095,2021-12-09,M3llow Silence,M3llow Silence,96553958,Ri38,20484375.0,1218747,10094485,29217,117005,160553,902702,9270,1874872,8750,292775
6078,6078,4077,2021-12-09,M3llow 7empest,M3llow 7empest,96581509,Ri38,16710463.0,297993,1900515,49946,71575,8929,163920,3623,22330655,10718,38789
6079,6079,4131,2021-12-09,Pirate Kyozelia,Pirate Kyozelia,96583489,Rt38,16745519.0,450897,2884329,76867,68542,64023,235352,6113,19550000,12202,119637
6086,6086,4030,2021-12-09,Davy Chajones,Davy Chajones,96595307,Rt38,17259296.0,4298341,24565878,387413,782144,1466352,1618994,43438,34833347,12420,495577
6087,6087,4139,2021-12-09,Pirate beaver,Pirate beaver,96603070,Rt38,18553618.0,2708665,14031820,439604,478597,855354,913691,21419,42000000,12555,70302
6094,6094,4221,2021-12-09,ÁltairSTARS,AltairSTARS,96617124,Rw38,15831019.0,4367355,14067509,2274177,677448,403957,959351,52422,150380346,14583,189440
6095,6095,4171,2021-12-09,SlayerˣCaboツ,SlayerˣCaboツ,96625552,RX38,21457303.0,8238651,43831014,1404393,2347519,1453867,2761781,271091,77808247,11831,510789
6096,6096,4140,2021-12-09,Pirate cass,Pirate cass,96645283,Rt38,19773078.0,408189,4583790,8291,20154,2991,300520,76233,22235513,2659,420933
6097,6097,4170,2021-12-09,SlayerXSkipper,SlayerXSkipper,96650925,RX38,18806865.0,11856790,62182957,1664618,3067374,2691959,4370933,61906,216810105,13011,221073
6107,6107,4134,2021-12-09,Pirate Ryōta,Pirate Ryota,96700452,Rt38,19024646.0,814947,4720117,52897,312845,102367,326238,20600,29033110,16046,88097
6114,6114,4145,2021-12-09,PirateMatuPatu,PirateMatuPatu,96776653,Rt38,21053829.0,920088,3768546,182063,358529,135874,240086,3536,107527702,7974,71587
6115,6115,4191,2021-12-09,TilValhallaa,TilValhallaa,96970314,RP38,22111451.0,3053167,13687678,529182,874893,857689,742676,48727,200740120,7534,299170
6118,6118,4235,2021-12-09,父SɦǟʀҜ父,父SHaʀҜ父,97075355,Rt38,20315733.0,5790043,29563595,1963845,677754,938652,2013513,196279,20564720,27787,383117
6123,6123,4184,2021-12-09,SwordsManZoro,SwordsManZoro,97086973,Rw38,16869833.0,498338,3270069,100068,101012,7383,277900,11975,58730357,6535,49270
6124,6124,4022,2021-12-09,Chuunin Swag,Chuunin Swag,97091387,RK38,13684359.0,430378,2309065,33546,171449,49062,176321,0,70688103,8610,171353
6125,6125,4044,2021-12-09,Groot DK,Groot DK,97091638,Rw38,23662977.0,1489408,9729005,183836,493775,46737,678346,86714,61600000,6655,245898
6126,6126,4151,2021-12-09,Q U E E N I E E,Q U E E N I E E,97101811,RA38,18519660.0,1799349,10070449,139007,559630,421302,635002,44408,491529547,14223,465514
6133,6133,4195,2021-12-09,Trooperkamikaze,Trooperkamikaze,97121989,Rw38,23146579.0,1070531,5384597,128668,413753,147902,366441,13767,2740995,4027,117381
6134,6134,4118,2021-12-09,Mr sheaffer,Mr sheaffer,97123715,RP38,19372554.0,1072735,6233342,168503,213141,235815,427542,27734,110531135,9865,126899
6140,6140,4185,2021-12-09,THOR 27PH,THOR 27PH,97125698,Rw38,15774470.0,1785153,8773893,286807,433389,466636,598321,0,52124660,13460,555869
6147,6147,4179,2021-12-09,Small Odin,Small Odin,97144363,RA38,21489355.0,4935640,32380208,933313,855490,522289,2409755,214793,551119145,38050,214998
6148,6148,4109,2021-12-09,Miss Chemical,Miss Chemical,97160911,Rw38,14207951.0,4573276,18370888,1138381,1444339,778591,1209913,2052,163541667,23733,696294
6149,6149,4091,2021-12-09,M3llow Khęprį,M3llow KheprI,97175946,Ri38,14044233.0,550589,3763262,11172,84356,164689,287388,2984,22391742,3547,37308
6150,6150,4055,2021-12-09,Jota San,Jota San,97184158,RA38,20340042.0,1966596,16379247,60406,258048,365755,1125969,156418,55167491,18310,463943
6151,6151,4019,2021-12-09,CaptEarl,CaptEarl,97194125,Rw38,13042031.0,2386996,11599713,524755,675155,294438,888626,4022,134988173,12997,659858
6152,6152,4193,2021-12-09,Trooper Luffy,Trooper Luffy,97201220,Rw38,17436561.0,1180394,5912425,298518,364338,67389,414849,35300,139548165,6748,157999
6153,6153,4160,2021-12-09,SilverSurferz,SilverSurferz,97206229,RP38,22207241.0,5177126,23486224,1018420,1415639,1314508,1337795,90764,25749426,14248,439801
6154,6154,4203,2021-12-09,WraithShot,WraithShot,97223990,RA38,19128995.0,2697901,21770242,188801,274344,296566,1876627,61563,76480061,7686,107007
6155,6155,4075,2021-12-09,Lethal Pirate,Lethal Pirate,97224201,Rt38,13265119.0,997946,3058586,122580,611870,141745,119167,2584,10018090,7163,148393
6156,6156,4135,2021-12-09,Pirate SM00th,Pirate SM00th,97250821,Rt38,22304533.0,4592729,26856985,740438,1194625,380132,2275156,2378,50877931,9608,174684
6157,6157,4054,2021-12-09,Jarvis Ztech,Jarvis Ztech,97287877,Rw38,16949482.0,649531,6166702,38254,78423,32459,413553,86842,49990780,30957,114166
6158,6158,4110,2021-12-09,Miss Riah Swann,Miss Riah Swann,97387239,Rt38,11976409.0,327102,2282684,18670,69598,57806,171203,9825,24728814,8631,92234
6218,6218,4025,2021-12-09,DE4DPO0L,DE4DPO0L,98020847,Rw38,17470553.0,3177518,21468088,328412,436308,624785,1772961,15052,37630588,9760,785532
6221,6221,4024,2021-12-09,D3VYN,D3VYN,98226089,Rw38,20683759.0,4779500,25476769,1248955,883784,758290,1734317,154154,2850839,8120,319305
6222,6222,4009,2021-12-09,BLACKVAGOAL,BLACKVAGOAL,98398193,Rw38,17344426.0,1938691,13974349,137145,268307,329584,1198113,5542,6857377,14735,521918
6223,6223,4202,2021-12-09,Will Tuga III,Will Tuga III,99203747,Rt38,16610421.0,1722087,13215764,94421,230560,349990,960652,86464,31997850,19692,224946
6226,6226,4169,2021-12-09,Slayer ˣPēēp,Slayer ˣPeep,99495030,RX38,20948478.0,3503974,13336974,2092984,127274,162985,1040273,80458,19224708,11187,295236
